example input data to run RothC for a number of years,,,,,,,,,
"clay and depth are only needed once, other data are monthly jan-dec ",,,,,,,,,
 (%),(cm),(t C/ha),(-),,,,,,
clay,depth,iom,nsteps,,,,,,
18,30,2.524,0,,,,,,
(-),(-),(%),(C) ,(mm),(mm),(t C/ha),(t C/ha),(-),(-)
year,month,modern,Tmp,Rain,Evap,C_inp,FYM,PC,DPM_RPM
2047,12,100,27.8,0.3,192,0,0,0,1.44
2048,1,100,27.7,5,193.33,0,0,0,1.44
2048,2,100,30.3,10.9,200,0,0,0,1.44
2048,3,100,31.8,20.9,230.67,0,0,0,1.44
2048,4,100,30.9,86.4,225.33,0,0,0,1.44
2048,5,100,29.3,130.1,220,0,0,1,1.44
2048,6,100,27.6,141.8,192,0,0,1,1.44
2048,7,100,26.6,139.7,176,0,0,1,1.44
2048,8,100,26,241,164,0,0,1,1.44
2048,9,100,26.4,198.1,162.67,0,0,1,1.44
2048,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2048,11,100,28.8,5.2,192,0,0,0,1.44
2048,12,100,27.8,0.3,192,0,0,0,1.44
2049,1,100,27.7,5,193.33,0,0,0,1.44
2049,2,100,30.3,10.9,200,0,0,0,1.44
2049,3,100,31.8,20.9,230.67,0,0,0,1.44
2049,4,100,30.9,86.4,225.33,0,0,0,1.44
2049,5,100,29.3,130.1,220,0,0,1,1.44
2049,6,100,27.6,141.8,192,0,0,1,1.44
2049,7,100,26.6,139.7,176,0,0,1,1.44
2049,8,100,26,241,164,0,0,1,1.44
2049,9,100,26.4,198.1,162.67,0,0,1,1.44
2049,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2049,11,100,28.8,5.2,192,0,0,0,1.44
2049,12,100,27.8,0.3,192,0,0,0,1.44
2050,1,100,27.7,5,193.33,0,0,0,1.44
2050,2,100,30.3,10.9,200,0,0,0,1.44
2050,3,100,31.8,20.9,230.67,0,0,0,1.44
2050,4,100,30.9,86.4,225.33,0,0,0,1.44
2050,5,100,29.3,130.1,220,0,0,1,1.44
2050,6,100,27.6,141.8,192,0,0,1,1.44
2050,7,100,26.6,139.7,176,0,0,1,1.44
2050,8,100,26,241,164,0,0,1,1.44
2050,9,100,26.4,198.1,162.67,0,0,1,1.44
2050,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2050,11,100,28.8,5.2,192,0,0,0,1.44
2050,12,100,27.8,0.3,192,0,0,0,1.44
2051,1,100,27.7,5,193.33,0,0,0,1.44
2051,2,100,30.3,10.9,200,0,0,0,1.44
2051,3,100,31.8,20.9,230.67,0,0,0,1.44
2051,4,100,30.9,86.4,225.33,0,0,0,1.44
2051,5,100,29.3,130.1,220,0,0,1,1.44
2051,6,100,27.6,141.8,192,0,0,1,1.44
2051,7,100,26.6,139.7,176,0,0,1,1.44
2051,8,100,26,241,164,0,0,1,1.44
2051,9,100,26.4,198.1,162.67,0,0,1,1.44
2051,10,100,28,82.9,190.67,3.074755695,0,1,1.44
2051,11,100,28.8,5.2,192,0,0,0,1.44
2051,12,100,27.8,0.3,192,0,0,0,1.44
2052,1,100,27.7,5,193.33,0,0,0,1.44
2052,2,100,30.3,10.9,200,0,0,0,1.44
2052,3,100,31.8,20.9,230.67,0,0,0,1.44
2052,4,100,30.9,86.4,225.33,0,0,0,1.44
2052,5,100,29.3,130.1,220,0,0,1,1.44
